data,hora,municipio,causa_acidente,tipo_acidente,latitude,longitude
2018-02-14,14:20:00,PETROPOLIS,Falta de Atenção à Condução,Colisão traseira,-22.51412292,-43.23770285
2018-03-09,10:00:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7807,-43.2856
2018-05-08,15:50:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.66066052,-43.28418905
2018-09-13,06:30:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7884,-43.2853
2018-10-02,16:15:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.63833286,-43.28415871
2018-10-21,02:10:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.66512562,-43.28495264
2018-11-24,02:15:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7968,-43.2889
2018-11-30,12:39:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7884,-43.2853
2019-01-17,14:40:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.7807,-43.2856
2019-04-18,06:40:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.79908,-43.29016
2019-06-07,12:00:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.77281,-43.28627
2019-07-11,19:40:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.65581,-43.28379
2019-07-19,11:00:00,PETROPOLIS,Falta de Atenção à Condução,Colisão traseira,-22.49614,-43.22614
2019-08-01,18:10:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.70045,-43.29015
2019-11-27,15:00:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.80795,-43.28912
2019-12-12,05:50:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.67375,-43.28638
2019-12-13,08:15:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.80787,-43.28912
2019-12-21,14:40:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.78394,-43.28545
2019-12-30,05:10:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.80795,-43.28912
2020-08-19,19:00:00,VOLTA REDONDA,Falta de Atenção à Condução,Colisão traseira,-22.48082784,-44.04047201
2019-01-13,05:30:00,SAPUCAIA,Falta de Atenção à Condução,Colisão traseira,-21.874243,-42.66758
2019-05-23,20:00:00,PETROPOLIS,Falta de Atenção à Condução,Colisão traseira,-22.40172,-43.10375
2019-07-19,20:10:00,MAGE,Falta de Atenção à Condução,Colisão traseira,-22.65788,-43.07965
2019-10-26,05:40:00,CAMPOS DOS GOYTACAZES,Falta de Atenção à Condução,Colisão traseira,-21.71833,-41.10952
2019-12-21,22:00:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.76968,-42.9226
2019-12-27,18:55:00,VOLTA REDONDA,Falta de Atenção à Condução,Colisão traseira,-22.47342,-44.05991
2020-01-01,14:45:00,ITABORAI,Falta de Atenção à Condução,Colisão traseira,-22.75950214,-42.93544822
